교량명,도로노선명,시도명,시군구명,시군구코드,소재지지번주소,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,교량높이
신곡교,일반국도3호선,경기도,의정부시,41150,경기도 의정부시 용현동,37.727187,127.075499,37.727264,127.075863,5
신곡IC교,일반국도3호선,경기도,의정부시,41150,경기도 의정부시 신곡동,37.726244,127.067313,37.726324,127.067533,6.3
부용교(상),일반국도3호선,경기도,의정부시,41150,경기도 의정부시 고산동,37.7316,127.089975,37.731872,127.090463,7.5
부용교(하),일반국도3호선,경기도,의정부시,41150,경기도 의정부시 고산동,37.732091,127.090197,37.731843,127.089806,7.5
민락2교,일반국도3호선,경기도,의정부시,41150,경기도 의정부시 민락동,37.746172,127.104091,37.746947,127.10399,9.1
민락IC육교,일반국도3호선,경기도,의정부시,41150,경기도 의정부시 낙양동,37.748232,127.103506,37.748571,127.103334,5.7
민락IC R-A1교,일반국도3호선,경기도,의정부시,41150,경기도 의정부시 민락동,37.746995,127.103652,37.746679,127.103432,7.9
민락IC R-B교,일반국도3호선,경기도,의정부시,41150,경기도 의정부시 민락동,37.74711,127.102367,37.747494,127.102413,5
민락IC R-C교,일반국도3호선,경기도,의정부시,41150,경기도 의정부시 민락동,37.746403,127.103089,37.746323,127.103215,5.6
민락천교,일반국도3호선,경기도,의정부시,41150,경기도 의정부시 민락동,37.748944,127.106409,37.748991,127.106047,5.6
자금IC R-A교,일반국도3호선,경기도,의정부시,41150,경기도 의정부시 자일동,37.760464,127.089737,37.76071,127.089619,4.7
자금IC R-B2교,일반국도3호선,경기도,의정부시,41150,경기도 의정부시 자일동,37.76211,127.087376,37.762271,127.087548,7.8
자금IC R-C2교,일반국도3호선,경기도,의정부시,41150,경기도 의정부시 자일동,37.762766,127.088101,37.762748,127.087579,5.5
장암고가교,일반국도3호선,경기도,의정부시,41150,경기도 의정부시 장암동,37.717671,127.061576,37.722454,127.062725,5
회암천교(하),일반국도3호선,경기도,양주시,41630,경기도 양주시 회암동,37.842413,127.084146,37.8414,127.084008,5
부곡R-A1교(상),일반국도39호선,경기도,양주시,41630,경기도 양주시 장흥면 부곡리,37.726195,126.977977,37.726843,126.978907,6.2
부곡R-A1교(하),일반국도39호선,경기도,양주시,41630,경기도 양주시 장흥면 부곡리,37.726974,126.978816,37.726318,126.978059,6.2
부곡R-A2교,일반국도39호선,경기도,양주시,41630,경기도 양주시 장흥면 부곡리,37.728461,126.97919,37.728844,126.979264,5
부곡R-B교,일반국도39호선,경기도,양주시,41630,경기도 양주시 장흥면 부곡리,37.729794,126.978155,37.729132,126.97837,5
부곡R-C교,일반국도39호선,경기도,양주시,41630,경기도 양주시 장흥면 부곡리,37.729855,126.978095,37.729557,126.977536,7.5
부곡R-D교,일반국도39호선,경기도,양주시,41630,경기도 양주시 장흥면 부곡리,37.728767,126.977897,37.728078,126.978714,14.5
부곡1교(상),일반국도39호선,경기도,양주시,41630,경기도 양주시 장흥면 부곡리,37.728996,126.97742,37.728353,126.979752,25.3
부곡1교(하),일반국도39호선,경기도,양주시,41630,경기도 양주시 장흥면 부곡리,37.728425,126.980659,37.729271,126.977505,22.3
울대3교(상),일반국도39호선,경기도,양주시,41630,경기도 양주시 장흥면 울대리,37.727318,126.991509,37.728125,126.993426,10.1
울대3교(하),일반국도39호선,경기도,양주시,41630,경기도 양주시 장흥면 울대리,37.728462,126.993693,37.727669,126.991844,5
울대4교(상),일반국도39호선,경기도,양주시,41630,경기도 양주시 장흥면 울대리,37.726998,126.990284,37.727034,126.990418,9.8
울대4교(하),일반국도39호선,경기도,양주시,41630,경기도 양주시 장흥면 울대리,37.727275,126.990324,37.72725,126.990188,9.8
울대5교,일반국도39호선,경기도,양주시,41630,경기도 양주시 장흥면 울대리,37.730017,126.99601,37.730224,126.996251,6.1
